Wall time,Step,Value
1619527142.8164687,0,1.0163726806640625
1619527258.622888,1,0.8850484490394592
1619527345.9805489,2,0.6435377597808838
1619527441.283726,3,0.7092562317848206
1619527529.169807,4,0.5585305094718933
1619527622.9537063,5,0.5570474863052368
1619527710.0240154,6,0.5421209335327148
1619527800.705637,7,0.469848096370697
1619527891.7811391,8,0.42021262645721436
1619527983.272963,9,0.4893318712711334
1619528070.9596741,10,0.46314293146133423
1619528162.7507074,11,0.4217023253440857
1619528250.6115305,12,0.3380238115787506
1619528341.2086382,13,0.3542060852050781
1619528429.4650044,14,0.3908999562263489
1619528521.5868423,15,0.30155983567237854
1619528609.4592066,16,0.31631168723106384
1619528700.5151186,17,0.362528920173645
1619528789.187676,18,0.29162856936454773
1619528881.3981812,19,0.25982439517974854
1619528969.1517217,20,0.288550466299057
1619529059.8993473,21,0.2574276030063629
1619529148.3683088,22,0.25655147433280945
1619529239.9551668,23,0.2546726167201996
1619529328.138905,24,0.2369636744260788
1619529420.227411,25,0.20773348212242126
1619529508.6419778,26,0.23356907069683075
1619529599.0536633,27,0.24213477969169617
1619529688.4974613,28,0.21153004467487335
1619529779.79223,29,0.21299254894256592
1619529867.4114907,30,0.18911036849021912
1619529961.6878192,31,0.20785245299339294
1619530060.0401807,32,0.1923510879278183
1619530147.3335478,33,0.22049333155155182
1619530240.024163,34,0.19456422328948975
1619530328.0918233,35,0.19258931279182434
1619530422.703399,36,0.20720355212688446
1619530510.7679527,37,0.16095955669879913
1619530605.572888,38,0.17968064546585083
1619530694.0000958,39,0.2072826623916626
1619530784.874507,40,0.19149746000766754
1619530871.7150438,41,0.1571008414030075
1619530963.9342194,42,0.19481022655963898
1619531051.8009574,43,0.16053420305252075
1619531145.1094701,44,0.15346211194992065
1619531233.4012377,45,0.1504947394132614
1619531325.807186,46,0.14776261150836945
1619531413.6583867,47,0.1667839139699936
1619531509.8876789,48,0.16396866738796234
1619531597.4430616,49,0.1521439403295517
1619531689.2919707,50,0.14756101369857788
1619531777.3319883,51,0.14535635709762573
1619531868.7587957,52,0.16098105907440186
1619531956.8349035,53,0.1488199532032013
1619532046.9253592,54,0.15310271084308624
1619532134.9470246,55,0.1407209038734436
1619532229.406267,56,0.1395987570285797
1619532319.0889318,57,0.1354925036430359
1619532411.2208524,58,0.14079198241233826
1619532499.358026,59,0.13840246200561523
1619532590.7753174,60,0.12680034339427948
1619532678.8395202,61,0.13911733031272888
1619532769.1337998,62,0.12115225940942764
1619532856.9623368,63,0.13234266638755798
1619532947.260785,64,0.12045485526323318
1619533041.5212915,65,0.12301371991634369
1619533129.981298,66,0.12291280180215836
1619533223.5153935,67,0.12187431752681732
1619533312.7337291,68,0.12073148787021637
1619533405.7684984,69,0.1225307285785675
1619533492.635884,70,0.13774511218070984
1619533586.4537668,71,0.11878249794244766
1619533673.1421404,72,0.10964008420705795
1619533763.396931,73,0.11552053689956665
1619533850.958911,74,0.11966964602470398
1619533943.2855484,75,0.11457246541976929
1619534033.3531375,76,0.1132371574640274
1619534124.229137,77,0.12657666206359863
1619534212.3514693,78,0.1136508509516716
1619534303.8676374,79,0.11598742753267288
1619534391.889749,80,0.11322078108787537
1619534483.0801387,81,0.10483896732330322
1619534571.115512,82,0.1055741086602211
1619534661.9738512,83,0.1108684316277504
1619534749.6686654,84,0.10929512232542038
1619534840.8118887,85,0.10149724036455154
1619534929.2985997,86,0.1048143208026886
1619535020.5123022,87,0.10915212333202362
1619535110.1815422,88,0.10983307659626007
1619535201.958399,89,0.10689441859722137
1619535290.6467376,90,0.1198936179280281
1619535382.3081167,91,0.10762623697519302
1619535470.0674937,92,0.11322855949401855
1619535561.1774797,93,0.11074093729257584
1619535649.7547362,94,0.111647829413414
1619535742.2886243,95,0.10730014741420746
1619535837.1957061,96,0.1016801968216896
1619535924.2176166,97,0.10840920358896255
1619536020.617115,98,0.12052380293607712
1619536108.4574523,99,0.11255057156085968
